gpu_name,manufacturer,benchmark_score,non_gaming_reason
Q45/Q43 Express Chipsatz,Intel,57,Integrated/Legacy
FireGL V3100,Unknown,53,Embedded/ISV
Matrox G200eh WDDM 1.2,Unknown,52,Embedded/ISV
FirePro 2450,AMD,51,Professional/Quadro
Matrox G200eW WDDM 1.2,Unknown,50,Embedded/ISV
Quadro NVS 140M,NVIDIA,49,Professional/Quadro
Quadro NVS 110M,NVIDIA,48,Professional/Quadro
Quadro NVS 120M,NVIDIA,47,Professional/Quadro
FireMV 2250,Unknown,46,Embedded/ISV
Matrox G200eh WDDM 2.0,Unknown,45,Embedded/ISV
Matrox G200eR WDDM 1.2,Unknown,45,Embedded/ISV
Mobile Intel 4 Express Chipsatzfamilie,Intel,45,Integrated/Legacy
Mobile Intel serie 4 Express,Intel,45,Integrated/Legacy
MOBILITY FireGL V5200,Unknown,45,Embedded/ISV
Quadro FX 350M,NVIDIA,45,Professional/Quadro
Matrox M9138 LP PCIe x16,Unknown,42,Embedded/ISV
Mobile Intel 45 Express,Intel,42,Integrated/Legacy
Matrox G200eh,Unknown,41,Embedded/ISV
MOBILITY FIREGL T2,Unknown,41,Embedded/ISV
Matrox G200eW,Unknown,40,Embedded/ISV
S3 Chrome 430 ULP,Unknown,40,Integrated/Legacy
Mobile Intel famiglia Express Chipset 45,Intel,39,Integrated/Legacy
Quadro NVS 285,NVIDIA,39,Professional/Quadro
Quadro NVS 285 128MB,NVIDIA,38,Professional/Quadro
Quadro NVS 440,NVIDIA,38,Professional/Quadro
Matrox G200eR,Unknown,37,Embedded/ISV
FireMV 2200 PCIe,Unknown,36,Embedded/ISV
Quadro FX 1100,NVIDIA,36,Professional/Quadro
MOBILITY FIREGL T2/T2e,Unknown,34,Embedded/ISV
Quadro FX 1000,NVIDIA,34,Professional/Quadro
Quadro FX 1300,NVIDIA,34,Professional/Quadro
S3 Chrome S27 DDR3,Unknown,33,Integrated/Legacy
Matrox M9148 LP PCIe x16,Unknown,32,Embedded/ISV
Red Hat QXL controller,Unknown,32,Integrated/Legacy
FireGL T2 128,Unknown,31,Embedded/ISV
Matrox M9128 LP PCIe x16,Unknown,29,Embedded/ISV
MOBILITY FireGL V5250,Unknown,27,Embedded/ISV
Matrox M9120 Plus LP PCIe x16,Unknown,26,Embedded/ISV
Matrox M9125 PCIe x16,Unknown,26,Embedded/ISV
PHDGD Sapphire GR for Mobile Intel 965,Intel,26,Integrated/Legacy
Mobile Intel 965 Express Chipsatzfamilie,Intel,24,Integrated/Legacy
Quadro NVS 210S,NVIDIA,24,Professional/Quadro
Matrox M9140 LP PCIe x16,Unknown,23,Embedded/ISV
Quadro NVS 210S / GeForce 6150LE,NVIDIA,21,Professional/Quadro
Matrox M9120 PCIe x16,Unknown,20,Embedded/ISV
Quadro FX 2000,NVIDIA,18,Professional/Quadro
S3 Chrome S25 DDR2,Unknown,18,Integrated/Legacy
Quadro FX 500/600 PCI,NVIDIA,14,Professional/Quadro
FireMV 2400 PCIe,Unknown,11,Embedded/ISV
Familia Intel Q33 Express Chipset,Intel,10,Integrated/Legacy
MOBILITY IGP 9000/9100,Unknown,10,Integrated/Legacy
Matrox Parhelia 256MB,Unknown,9,Embedded/ISV
VIA Chrome9 HD IGP,Unknown,9,Integrated/Legacy
82945G Express Chipsatzfamilie,Intel,8,Integrated/Legacy
Mobile Intel 965 Express BR 0907 0461 v1839,Intel,8,Integrated/Legacy
MOBILITY RADEON 9000 IGP,AMD,8,Integrated/Legacy
Quadro FX 500/FX 600,NVIDIA,8,Professional/Quadro
Quadro NVS 280 PCI,NVIDIA,8,Professional/Quadro
US15 Embedded Media and Controller,Intel,7,Integrated/Legacy
Matrox Millennium P690 Plus LP PCIe x16,Unknown,7,Embedded/ISV
Matrox Parhelia APVe,Unknown,6,Embedded/ISV
Mobile Intel 945GM Express,Intel,6,Integrated/Legacy
MOBILITY RADEON 7000 IGP,AMD,6,Integrated/Legacy
MOBILITY RADEON 9000/9100 IGP,AMD,6,Integrated/Legacy
Quadro 280 NVS PCIe,NVIDIA,6,Professional/Quadro
Quadro NVS 55/280 PCI,NVIDIA,6,Professional/Quadro
IGP 350M,AMD,6,Integrated/Legacy
82865G Controller,Intel,5,Integrated/Legacy
915G/915GV/910GL Embedded Controller Functio,Intel,5,Integrated/Legacy
945G Embedded Chipset Function 0,Intel,5,Integrated/Legacy
Matrox Millennium P650 PCIe 128,Unknown,5,Embedded/ISV
Mobile Intel 945GM/GU Express,Intel,5,Integrated/Legacy
MOBILITY FIREGL 7800,Unknown,5,Embedded/ISV
Quadro2 MXR/EX,NVIDIA,5,Other-Professional
9100 IGP,AMD,5,Integrated/Legacy
VIA/S3G UniChrome Pro IGP,Unknown,5,Integrated/Legacy
Dell 8200,Unknown,4,Other-Professional
865 Embedded Controller,Intel,4,Integrated/Legacy
IGP 320,AMD,4,Integrated/Legacy
IGP 320M,AMD,4,Integrated/Legacy
VIA Chrome9 HC IGP,Unknown,4,Integrated/Legacy
VIA Chrome9 HC IGP Family,Unknown,4,Integrated/Legacy
VIA Chrome9 HC IGP Family WDDM,Unknown,4,Integrated/Legacy
VIA/S3G UniChrome IGP,Unknown,4,Integrated/Legacy
82845G/GL Controller,Intel,3,Integrated/Legacy
82845G/GL/GE/PE/GV Controller,Intel,3,Integrated/Legacy
946GZ Embedded Chipset Function 0,Intel,3,Integrated/Legacy
Matrox Parhelia 128MB,Unknown,3,Embedded/ISV
MOBILITY RADEON 9100 IGP,AMD,3,Integrated/Legacy
IGP 340M,AMD,3,Integrated/Legacy
IGP 345M,AMD,3,Integrated/Legacy
S3 Inc. Savage4,Unknown,3,Integrated/Legacy
VIA Chrome9 HC IGP WDDM,Unknown,3,Integrated/Legacy
VIA Chrome9 HC IGP WDDM 1.1,Unknown,3,Integrated/Legacy
VIA Chrome9 HC3 IGP,Unknown,3,Integrated/Legacy
VIA/S3G DeltaChrome IGP,Unknown,3,Integrated/Legacy
Dell 8100,Unknown,2,Other-Professional
82845G Controller,Intel,2,Integrated/Legacy
Extreme Controller,Intel,2,Integrated/Legacy
Mobile Intel 915GM/GMS/910GML Express,Intel,2,Integrated/Legacy
Mobile Intel 945 Express,Intel,2,Integrated/Legacy
Quadro NVS 280 SD,NVIDIA,2,Professional/Quadro
IGP 34xM,AMD,2,Integrated/Legacy
S3 SuperSavage/IXC 1014,Unknown,2,Integrated/Legacy
VIA Chrome9 HC IGP Prerelease WDDM 1.1,Unknown,2,Integrated/Legacy
VIA Chrome9 HCM IGP,Unknown,2,Integrated/Legacy
FireMV 2200 PCI,Unknown,1,Embedded/ISV
82852/82855 GM/GME Controller,Intel,1,Integrated/Legacy
Quadro2 Pro,NVIDIA,1,Other-Professional
Rage 128 Pro,Unknown,1,Integrated/Legacy
RAGE 128 PRO AGP 4X TMDS,Unknown,1,Integrated/Legacy
S3 ProSavageDDR,Unknown,1,Integrated/Legacy
