gpu_name,benchmark_score,tier
HD 7560D + HD 6670 Dual,1555,A
UHD 730,1553,A
RX Vega 8,1552,A
GTX 285,1550,A
HD 8470D + HD 7500 Dual,1545,A
FirePro W4100,1541,A
FirePro V8700,1539,A
RX 640,1537,A
HD 4890,1533,A
GT 740,1529,A
FirePro W6150M,1515,A
Quadro P500,1508,A
HD 7870M,1507,A
940MX,1503,A
HD 6670 + 7660D Dual,1492,A
Quadro 4000,1489,A
HD 7660D + HD 6670 Dual,1485,A
R9 255,1485,A
R9 M365X,1482,A
MX110,1469,A
Vega 10 Mobile,1465,A
Vega 8 Mobile,1438,A
HD 8470D + HD 6670 Dual,1436,A
550X,1430,A
845M,1430,A
Iris Pro Graphics 6200,1429,A
HD 7560D + 7670 Dual,1426,A
R7 M370,1418,A
GTX 660M,1414,A
Pro WX 4170,1409,A
GTX 275,1401,A
540X,1398,A
HD 4870,1391,B
HD 7560D + HD 7670 Dual,1380,B
R7 PRO A12 8870,1376,B
R9 M370X,1374,B
HD 7850M,1373,B
FirePro M40003,1364,B
HD 8670D + 6670 Dual,1361,B
HD 5770,1351,B
Quadro K2100M,1348,B
HD 7560D + HD 7700 Dual,1347,B
Iris 550,1344,B
FireStream 9270,1341,B
FirePro W5130M,1341,B
Iris Plus 640,1333,B
GTS 450,1321,B
HD 8670D + HD 7600 Dual,1318,B
FirePro M5950,1314,B
GT 750M,1313,B
HD 4870 X2,1309,B
Quadro 4000M,1307,B
HD 8790M,1306,B
Tesla M2070 Q,1306,B
930MX,1302,B
Vega 6,1296,B
Ryzen Embedded V2748,1296,B
UHD 630,1293,B
R7 A370,1281,B
540,1273,B
FirePro 3D V8750,1272,B
FirePro V5900,1271,B
GTX 560M,1266,B
HD 8570D + HD 6670 Dual,1261,B
HD 7560D + HD 7600 Dual,1258,B
Iris 540,1257,B
Quadro FX 5800,1248,B
630,1245,B
Quadro 2000 D,1239,B
HD 8570D + 6570 Dual,1239,B
HD 7660D + 6670 Dual,1238,B
HD P630,1237,B
HD 7560D + HD 6570 Dual,1237,B
GPU,1236,B
R7 + R5 340 Dual,1235,B
R7 + R7 250 Dual,1232,B
FirePro 3D V5800,1232,B
HD 6770,1231,B
HD 8670D + HD 6670 Dual,1222,B
GTX 260,1221,B
HD 7730,1217,B
HD 8790M / R9 M290X,1211,B
FirePro 3D V8700,1206,B
N16P GX,1205,B
HD 7660D + 7540D Dual,1204,B
R9 M270X,1204,B
HD P530,1202,B
GT 650M,1199,B
GTX 460M,1198,B
HD 7750M,1191,B
R7 +8G,1191,B
FirePro V5800,1186,B
GT 640,1182,B
GTX 280,1181,B
840A,1180,B
GTX 295,1171,B
R7 Opteron X3421,1169,B
FireStream 9250,1165,B
Barco MXRT 5400,1161,B
Coffee Lake UHD,1158,B
Quadro K620M,1157,B
HD 5750,1156,B
R7 250,1151,B
625,1150,B
940A,1145,B
GT 745A,1144,B
NVS 810,1141,B
HD 8850M / R9 M265X,1140,B
HD 4850 X2,1132,B
HD 7560D + 6670 Dual,1131,B
R7 + R7 200 Dual,1129,B
R7 FX 9830P RADEON,1127,B
HD 8650G + 7700M Dual,1126,B
HD 7660D + 7500 Dual,1121,B
HD 630,1118,B
R7 PRO A12 9800,1117,B
R9 M275,1115,B
R7 430,1110,B
UHD 710,1107,B
940M,1106,B
Quadro 2100M,1100,B
HD 7660D + 6570 Dual,1100,B
Quadro M500M,1098,B
GT 545,1096,B
GTX 850M MODDED,1092,B
920MX,1088,B
Firepro W4190M,1086,B
Quadro K1100M,1082,B
930A,1082,B
MIRRORV3,1081,B
Barco MXRT 5450,1079,B
HD 8450G + 8600/8700M Dual,1070,B
FirePro M4170,1067,B
840M,1067,B
Mobility Radeon HD 5870,1062,B
HD 7660D + 7670 Dual,1062,B
HD 7520G + 7700M Dual,1061,B
GTX 760A,1060,B
Firepro M4100,1059,B
GT 745M,1055,B
OPAL XT/GL,1053,B
HD 7670A,1050,B
GTX 850A,1050,B
535,1048,B
R7 A12 9730P RADEON,1047,B
R7 + R7 240 Dual,1045,B
HD 8570D + 6670 Dual,1040,B
R7 M460,1038,B
UHD Graphics 620,1037,B
HD 8570D + HD 8570 Dual,1033,B
HD 8600/8700M,1030,B
Vega 3 Mobile,1029,B
R7 + R5 330 Dual,1028,B
Quadro K2000M,1027,B
R7 M350,1027,B
Quadro 3000M,1024,B
R9 A375,1024,B
HD 8670D + R7 240 Dual,1020,B
Iris Pro 5200,1020,B
HD 6700M,1017,B
RadeonT R5 430,1016,B
930M,1011,B
HD 7690M XT,1009,B
HD 6750,1005,B
830A,1005,B
HD 7690M,1003,B
HD 7660G + HD 7500/7600 7500/7600 Dual,1002,B
HD 8570D + R7 200 Dual,999,B
FirePro M4150,999,B
