canonical_name,cpu_name_normal,manufacturer,benchmark_score,cores,tdp,socket,category
Intel Pentium 4 3.20GHz,Pentium 4 3.20GHz,Intel,326,1,82.0,PGA478,Desktop
Mobile AMD Athlon 64 3200+,Mobile AMD Athlon 64 3200+,AMD,326,1,81.5,unknown,Laptop
MT6735P,MT6735P,Unknown,326,4,,unknown,Mobile/Embedded
Unisoc SC7731e,Unisoc SC7731e,Unknown,324,4,,unknown,Mobile/Embedded
Intel Atom N2600,Atom N2600,Intel,323,2,3.5,BGA559,Laptop
ARM Cortex-A53 4 Core 1200 MHz,ARM Cortex A53 4 Core 1200 MHz,Intel,323,4,,unknown,Unknown
Mobile AMD Sempron 3400+,Mobile AMD Sempron 3400+,AMD,321,1,25.0,Socket S1 (S1g1),Laptop
Intel Core Duo T2050,Duo T2050,Intel,320,2,31.0,PGA478,Desktop
Rockchip RK3328,Rockchip RK3328,Unknown,319,4,,unknown,Mobile/Embedded
AMD Opteron 144,Opteron 144,AMD,316,1,67.0,939,Server
Intel Core2 Duo U7600,Core2 Duo U7600,Intel,316,2,10.0,BGA479,Laptop
AMD Turion 64 Mobile MT-37,Turion 64 Mobile MT 37,AMD,315,1,25.0,754,Laptop
AMD Sempron 3300+,Sempron 3300+,AMD,315,1,62.0,754,Desktop
AMD Sempron LE-1100,Sempron LE 1100,AMD,315,1,45.0,AM2,Desktop
Intel Pentium 4 3.60GHz,Pentium 4 3.60GHz,Intel,315,1,115.0,unknown,Desktop
VIA Eden X2 U4200 @ 1.0+ GHz,VIA Eden X2 U4200 @ 1.0+ GHz,Unknown,315,2,,unknown,Unknown
Intel Celeron D 420,Celeron D 420,Intel,313,1,35.0,LGA775,Desktop
Intel Pentium 4 3.00GHz,Pentium 4 3.00GHz,Intel,313,1,81.9,PGA478,Desktop
Mobile AMD Athlon 64 4000+,Mobile AMD Athlon 64 4000+,AMD,313,1,62.0,unknown,Laptop
Intel Pentium 4 3.80GHz,Pentium 4 3.80GHz,Intel,313,1,65.0,unknown,Desktop
Samsung GrandPrimePlus LTE CIS rev04 board based o,Samsung GrandPrimePlus LTE CIS rev04 board based o,Unknown,312,4,,unknown,Mobile/Embedded
MT6739WM,MT6739WM,Unknown,310,4,,unknown,Mobile/Embedded
AMD C-60 APU,C 60 APU,AMD,309,2,9.0,unknown,Unknown
MT6735M,MT6735M,Unknown,308,4,,unknown,Mobile/Embedded
AMD Z-01,Z 01,AMD,308,2,,unknown,Unknown
Intel Celeron M 530,Celeron M 530,Intel,307,1,30.0,"PBGA479, PPGA478",Laptop
Intel Atom E3826,Atom E3826,Intel,304,2,7.0,FCBGA1170,Laptop
AMD Athlon 64 3000+,Athlon 64 3000+,AMD,303,1,89.0,Socket 754,Desktop
AMD Athlon II Neo K125,Athlon II Neo K125,AMD,302,1,12.0,S1,Laptop
Mobile AMD Sempron 3600+,Mobile AMD Sempron 3600+,AMD,302,1,25.0,S1,Laptop
AMD Sempron LE-1250,Sempron LE 1250,AMD,301,1,45.0,AM2,Desktop
Intel Celeron 550,Celeron 550,Intel,301,1,31.0,BGA479,Laptop
AMD C-70 APU,C 70 APU,AMD,300,2,9.0,unknown,Unknown
Qualcomm MSM8926,Qualcomm MSM8926,Unknown,300,4,,unknown,Mobile/Embedded
AMD Sempron 3100+,Sempron 3100+,AMD,298,1,62.0,754,Desktop
Intel Atom Z2760,Atom Z2760,Intel,298,2,,FC-MB4760,Laptop
AMD Athlon II Neo K145,Athlon II Neo K145,AMD,298,1,12.0,S1,Laptop
AMD Athlon 64 2800+,Athlon 64 2800+,AMD,295,1,89.0,754,Unknown
Intel Pentium 4 3.46GHz,Pentium 4 3.46GHz,Intel,295,1,110.7,unknown,Desktop
Mobile AMD Sempron 3300+,Mobile AMD Sempron 3300+,AMD,294,1,,unknown,Laptop
MediaTek MT8735B,MediaTek MT8735B,Unknown,294,4,,unknown,Mobile/Embedded
Qualcomm MSM8626,Qualcomm MSM8626,Unknown,294,4,,unknown,Mobile/Embedded
UNIVERSAL3475,UNIVERSAL3475,Unknown,294,4,,unknown,Mobile/Embedded
Intel Celeron 430,Celeron 430,Intel,293,1,35.0,LGA775,Desktop
Intel Pentium 4 3.40GHz,Pentium 4 3.40GHz,Intel,293,1,89.0,PGA478,Desktop
AMD Athlon 64 3800+,Athlon 64 3800+,AMD,292,1,45.0,AM2,Unknown
AMD Sempron 3400+,Sempron 3400+,AMD,292,1,62.0,AM2,Desktop
AMD G-T40N,G T40N,AMD,292,2,9.0,FT1,Laptop
Intel Pentium M 2.10GHz,Pentium M 2.10GHz,Intel,292,1,21.0,"H-PBGA479, PPGA4",Laptop
"Qualcomm Technologies, Inc MSM8216","Qualcomm Technologies, Inc MSM8216",Unknown,292,4,,unknown,Mobile/Embedded
AMD Athlon 2800+,Athlon 2800+,AMD,291,1,89.0,754,Unknown
Qualcomm APQ8026,Qualcomm APQ8026,Unknown,291,4,,unknown,Mobile/Embedded
AMD C-60,C 60,AMD,290,2,9.0,unknown,Unknown
Mobile AMD Sempron 3500+,Mobile AMD Sempron 3500+,AMD,290,1,,unknown,Laptop
AMD G-T40E,G T40E,AMD,289,2,6.4,FT1,Laptop
AMD Sempron 3200+,Sempron 3200+,AMD,288,1,62.0,AM2,Desktop
AMD Sempron SI-40,Sempron SI 40,AMD,288,1,25.0,S1,Laptop
AMD Turion 64 Mobile MT-32,Turion 64 Mobile MT 32,AMD,286,1,24.0,754,Laptop
"Qualcomm Technologies, Inc APQ8009","Qualcomm Technologies, Inc APQ8009",Unknown,286,4,,unknown,Mobile/Embedded
AMD Turion 64 Mobile ML-32,Turion 64 Mobile ML 32,AMD,285,1,35.0,754,Laptop
Intel Celeron 540,Celeron 540,Intel,283,1,30.0,PGA478,Laptop
Intel Celeron D 352,Celeron D 352,Intel,283,1,86.0,PLGA775,Desktop
AMD Athlon Neo MV-40,Athlon Neo MV 40,AMD,282,1,15.0,unknown,Unknown
AMD Athlon XP 3100+,Athlon XP 3100+,AMD,282,1,,unknown,Unknown
AMD Athlon XP 3200+,Athlon XP 3200+,AMD,281,1,62.0,AM2,Unknown
Intel Pentium M 1.80GHz,Pentium M 1.80GHz,Intel,280,1,21.0,"H-PBGA479, PPGA4",Laptop
AMD Turion 64 Mobile MT-34,Turion 64 Mobile MT 34,AMD,279,1,24.0,754,Laptop
VIA Nano L2100@1800MHz,VIA Nano L2100@1800MHz,Unknown,279,1,25.0,BGA400,Laptop
